image_path,device_type,defect_type,text_prompt
data\Laptop-damage-detection-testing.v1i.coco\370116014_265347126474136_4870941993653121884_n_jpg.rf.7d55ed0a0ce5da1334521e7ca5cdc13e.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20240913123033_top_jpg.rf.1606b185e7c91d3d3c091bdc27621bae.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20220907_155342_jpg.rf.21ba63de25fe7fe30baa351516331c86.jpg,laptop,keyboard malfunction,The keyboard is missing a key.
data\Laptop-damage-detection-testing.v1i.coco\458_900_jpg.rf.d18fbaf273d7c08e7fc7f47635f60720.jpg,laptop,back panel damaging,The back panel of the device is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20240913123033_top_jpg.rf.6d516c61c4bfc1f0b17dd927124bbedb.jpg,laptop,battery swelling,The image shows a Dell laptop with a swollen battery.
data\Laptop-damage-detection-testing.v1i.coco\20220907_155359-0-_jpg.rf.0cae8b49eeda919efc7e0d89e1fc9ebd.jpg,laptop,keyboard malfunction,The keyboard is missing a key.
data\Laptop-damage-detection-testing.v1i.coco\370197575_280865421487294_7982785502145262537_n_jpg.rf.ba22bb9fe847c074f247f8c599c46e66.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\99_jpeg_jpg.rf.d5f3123e55e1cf15c717ee2e6a1b8d4f.jpg,laptop,keyboard malfunction,"The keyboard is missing a few keys, and the space bar is missing."
data\Laptop-damage-detection-testing.v1i.coco\20240913122802_top_jpg.rf.0dc00c23599a6bb5fbaa6f6e652249e1.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\370151487_1627358067792700_2294245155332549098_n_jpg.rf.4d6ec6b61236ebd69fa5a8998977c397.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\7100014452_jpg.rf.b2b1741834b0c50f5c03f7c92534f22a.jpg,laptop,back panel damaging,The back panel of the device is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20240910153128_bottom_jpg.rf.b54549faa3e4acfd137961efebc7f744.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\370293564_336508052207587_1766574074299814173_n_jpg.rf.97b7de8fa7175bf4386df5b23acf2247.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20240112_C223013901-6-_jpg.rf.0b667b8c05a4fdd1a16c6aa467f8a4e7.jpg,laptop,cracked screen,The screen is cracked.
data\Laptop-damage-detection-testing.v1i.coco\20240906135024_top_jpg.rf.74d4c9fa902d48b8559985426f184c50.jpg,laptop,battery swelling,The laptop has a swollen battery.
data\Laptop-damage-detection-testing.v1i.coco\386477968_1344731392797029_5575715056584165488_n_jpg.rf.18eeaa57b38cea36e6a21cd720b3313f.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20220907_155402_jpg.rf.9249f2e3cef998dbf314797f2132e2b5.jpg,laptop,keyboard malfunction,The keyboard is broken.
data\Laptop-damage-detection-testing.v1i.coco\1116_jpg.rf.c8dc6719247f259f54cf6e683e140bbc.jpg,laptop,screen scratch,The screen of the laptop is scratched.
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-18-19-06_jpg.rf.0546b6e2c99e21b3162afa09cb6fdf4e.jpg,laptop,back panel damaging,The back panel is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20240913123144_top_jpg.rf.5c2cb5f51c7b32f611be700a0550309c.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-14-38-21_jpg.rf.a7eec8ed4bf9a86921128dbb7e42c539.jpg,laptop,back panel damaging,The back panel is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20220907_160213_jpg.rf.55b8618c30deefd545de5514f369a68d.jpg,laptop,back panel damaging,The back panel is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20220907_160215-0-_jpg.rf.211e61e8ad26a0e9490eb0483277ba1d.jpg,laptop,keyboard malfunction,The keyboard is missing a key.
data\Laptop-damage-detection-testing.v1i.coco\1400013434_jpg.rf.eb55a954f524e85e9c5eca12d32a5d76.jpg,laptop,keyboard malfunction,The keyboard is broken and has been ripped apart.
data\Laptop-damage-detection-testing.v1i.coco\20240906133458_top_jpg.rf.68535dfe8e371bfa32fd40f0b1f0c035.jpg,laptop,normal device,The device is a laptop.
data\Laptop-damage-detection-testing.v1i.coco\25_png_jpg.rf.a4a6c60792c4896611802252acdd401e.jpg,laptop,screen scratch,"The image shows a screen with a logo on it. The logo is surrounded by a white background. The screen is scratched, which is visible in the image."
data\Laptop-damage-detection-testing.v1i.coco\031245531b21f2_jpg.rf.4826d0ba2d421ad8fdbeac02dbb33ec7.jpg,laptop,water damage,The image shows a laptop computer with water damage. The water has caused the laptop to malfunction and has caused the laptop to be opened up. The water damage is visible on the laptop's keyboard and other parts of the laptop.
data\Laptop-damage-detection-testing.v1i.coco\30_jpg.rf.b8922f0c6a5262d692b26b3e54d627b3.jpg,laptop,keyboard malfunction,The keyboard is missing a key.
data\Laptop-damage-detection-testing.v1i.coco\20220907_160218-0-_jpg.rf.f6d34468b8bfa6dd78a857c2c8f73cfc.jpg,laptop,keyboard malfunction,The keyboard is missing a key.
data\Laptop-damage-detection-testing.v1i.coco\6500014102_jpg.rf.10689b3caa0ff0d8a41bae1d17707314.jpg,laptop,back panel damaging,"The back panel of the laptop is damaged, with a cracked screen and a broken keyboard."
data\Laptop-damage-detection-testing.v1i.coco\1400013322_jpg.rf.8634fd9e44f5a83254d26e93a6687d62.jpg,laptop,keyboard malfunction,The keyboard is broken and has a missing key.
data\Laptop-damage-detection-testing.v1i.coco\387588554_724350416221349_3031443269795842578_n_jpg.rf.5a7f3e798b8bd124122842ffc0f4ae7c.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-18-17-07_jpg.rf.8b617e6779a66d35842a40b4806490bb.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20240112_163426_jpg.rf.f401316af3286a35eb19b17a2e54a166.jpg,laptop,display flickering,"The image has a flickering display, which is a defect in the image."
data\Laptop-damage-detection-testing.v1i.coco\20240913123144_top_jpg.rf.b4381496f18f4959aba36b347fd2d940.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\369_jpg.rf.b203c3a4d167a0b8db7726853deefdcf.jpg,laptop,screen scratch,The image shows a laptop with a screen scratch on the side.
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-16-40-18_jpg.rf.0fdf410c445aafc68b32dfc594779cfc.jpg,laptop,cracked screen,The screen is cracked.
data\Laptop-damage-detection-testing.v1i.coco\20240913122802_top_jpg.rf.3ace5073716ad9188ecdb39e4fdb8f15.jpg,laptop,back panel damaging,The back panel of the device is damaged.
data\Laptop-damage-detection-testing.v1i.coco\387333767_999843797963357_3373433226000860989_n_jpg.rf.9ed90eed90b30af9d245298d5b8a119e.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20240910153152_bottom_jpg.rf.59858fe30b37489f3adb5266ccfd0429.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\370197575_280865421487294_7982785502145262537_n_jpg.rf.01b163e161c199270b40374ac756893c.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20220907_160229-0-_jpg.rf.56a76c0a5fe6c68272117a30cd8f8e75.jpg,laptop,keyboard malfunction,The keyboard is missing a key.
data\Laptop-damage-detection-testing.v1i.coco\20220907_160215-0-_jpg.rf.df9ba0cc45651b4baace981594d42dec.jpg,laptop,keyboard malfunction,The keyboard is missing a key.
data\Laptop-damage-detection-testing.v1i.coco\30_jpg.rf.15b3e3850d6c8b8f4525e868cc37f803.jpg,laptop,keyboard malfunction,The keyboard is missing a key.
data\Laptop-damage-detection-testing.v1i.coco\600014349_jpg.rf.d1a335c8ba5e8493f3382f22cfa4db30.jpg,laptop,back panel damaging,The back panel of the device is damaged.
data\Laptop-damage-detection-testing.v1i.coco\387499955_638124278199813_8136866318153395863_n_jpg.rf.313da189154cca567fecdd6b5c0817b9.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-13-50-51_jpg.rf.27e0b2267820c1c2e9952aca373914d2.jpg,laptop,normal device,The device is a cell phone.
data\Laptop-damage-detection-testing.v1i.coco\387326889_628634302793752_3754668532120639129_n_jpg.rf.b411a1b00a35aa798eeafe21888c9d69.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20240910153139_bottom_jpg.rf.06bc554d1083cc9eb6e24ab0b537ed4d.jpg,laptop,back panel damaging,The back panel is damaged.
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-18-38-40_jpg.rf.8f7c094935644a2a9d7534cba5fdf944.jpg,laptop,screen scratch,The image shows a silver metal surface with a screen scratch on it.
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-17-55-43_jpg.rf.1048a4af05ab8277d06a6d00fddf217e.jpg,laptop,broken hinge,The image shows a broken hinge on a metal object.
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-18-19-06_jpg.rf.604930c148bf8fd1f9584b4130228ea3.jpg,laptop,back panel damaging,The back panel is damaged.
data\Laptop-damage-detection-testing.v1i.coco\387542258_743922817769641_992740013421046499_n_jpg.rf.eb45ef04de3d4ee70436d6046cf73bad.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20240910153139_bottom_jpg.rf.8772982ae9ba432b610df08030f0065e.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\2800013357_jpg.rf.02a8f5fd4b619cfa4997c9f548d945c8.jpg,laptop,screen scratch,The laptop screen is cracked and has a scratch on it.
data\Laptop-damage-detection-testing.v1i.coco\370082498_699386798909721_2604580787779817296_n_jpg.rf.36c4dda6ba0df8165bb4645c42c6d553.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\386886175_1123892678989525_1858502656252888807_n_jpg.rf.31749742c7606cefb261a6178a6beeff.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\25_jpg.rf.94ee0c3dfcc0a581afcd0a5b52384dd7.jpg,laptop,screen scratch,"The image shows a laptop computer with a screen that has a scratch on it. The laptop is open, and the screen is visible. The scratch is located on the screen, and it appears to be a significant part of the image."
data\Laptop-damage-detection-testing.v1i.coco\487_jpg.rf.b2483b07dd8d27a7bd213f8748f9df64.jpg,laptop,back panel damaging,"The back panel of the laptop is damaged, with a cracked screen and a broken keyboard."
data\Laptop-damage-detection-testing.v1i.coco\20240910153035_bottom_jpg.rf.64c1ec81b7287cb236a65f92d7269426.jpg,laptop,back panel damaging,The back panel is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20240913123144_top_jpg.rf.7324149ee72fc8239d2fcec67d4d1af5.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-13-53-15_jpg.rf.70494f0400235a6d1db48960bccc4012.jpg,laptop,back panel damaging,The back panel of the device is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20240906135024_top_jpg.rf.54b8bdfce4f9a4c331be0d4774da488d.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\18_jpg.rf.cbcb37a467dfb71f47c1a154acfd5352.jpg,laptop,charging port issue,The charging port is broken.
data\Laptop-damage-detection-testing.v1i.coco\370244757_339461181889105_482276015014448608_n_jpg.rf.95f1d9ac81969fbcc0b6dc18e909e418.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\369_jpg.rf.2da9487d084ad93f37e19570a54d18d9.jpg,laptop,broken hinge,"The image shows a laptop with a broken hinge. The hinge is cracked and broken, which is causing the laptop to be inoperable. The laptop is placed on a wooden table, and the broken hinge is clearly visible."
data\Laptop-damage-detection-testing.v1i.coco\385498683_853287709530521_1400322349940815434_n_jpg.rf.4ac3f6321678520a33e26ba52da97271.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\387525607_282712044579421_2280659367724447816_n_jpg.rf.54a027d26a4bce3d74d62025d2344f1a.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\47_jpg.rf.f1aaf44b8df95e9042ce7528aeca87bb.jpg,laptop,keyboard malfunction,The keyboard is not functioning properly.
data\Laptop-damage-detection-testing.v1i.coco\1900011726_png_jpg.rf.f3c5196265956a97f7a7503b70aae1e1.jpg,laptop,keyboard malfunction,The keyboard is not functioning properly.
data\Laptop-damage-detection-testing.v1i.coco\368522237_1996070060777759_2692032018839184843_n_jpg.rf.3a69ef5001adb61a6bcd57ead62bd555.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\600014289_jpg.rf.ac390390706d822bcf80ca812aca1df7.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\370228014_714353090587826_5061806500961603007_n_jpg.rf.413ee27e53cbfc3841d5c8ec02af4ddb.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\600014346_jpg.rf.62d15874eb74e0a2c1aefd312a83895b.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\386870979_667448808471839_1849354985514905760_n_jpg.rf.863465723e0dcaef5fe36981601bd446.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20240112_120130_jpg.rf.f4349a9bf4afe89768e86516b1ba507e.jpg,laptop,display flickering,The display is flickering.
data\Laptop-damage-detection-testing.v1i.coco\386886175_1123892678989525_1858502656252888807_n_jpg.rf.a36fe8ffb2c82c23caf366470ed57278.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\6700013785_jpg.rf.8928b0e335b78cac5a43abaccd37aef3.jpg,laptop,keyboard malfunction,The keyboard is not functioning properly.
data\Laptop-damage-detection-testing.v1i.coco\700-700_jpg.rf.8d78ba88270dd68a5f1fbc838ecd49d8.jpg,laptop,back panel damaging,The back panel is damaged.
data\Laptop-damage-detection-testing.v1i.coco\-223013872_2024-01-12_14-54-49_jpg.rf.42d65459fa140ca43758c0db18865144.jpg,laptop,screen scratch,The screen has a scratch on it.
data\Laptop-damage-detection-testing.v1i.coco\20240906135024_top_jpg.rf.eff56a4a96ee232937b0e619ca7ee646.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\370151487_1627358067792700_2294245155332549098_n_jpg.rf.e410e6ce20367264760c4d1fbc826c00.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-14-37-01_jpg.rf.753d49aac0d4ab5da476f913f7dd5e3b.jpg,laptop,charging port issue,The charging port is missing.
data\Laptop-damage-detection-testing.v1i.coco\20240910153035_bottom_jpg.rf.8c2e7cf67aa5332ee43f90ee00de3e4f.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\6100013186_jpg.rf.ad5e5c8663118bd20ce08a7e0621767d.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20220907_160225_jpg.rf.eddb3d68f6ba87a12fdc818a7a0319e1.jpg,laptop,keyboard malfunction,The keyboard is missing a key.
data\Laptop-damage-detection-testing.v1i.coco\6100013168_jpg.rf.0ecfd3e4854d286908695dc0effa9738.jpg,laptop,keyboard malfunction,The keyboard is missing some keys.
data\Laptop-damage-detection-testing.v1i.coco\20220907_155359-0-_jpg.rf.3b9f664c3d85236e5bd49dc5d9097c62.jpg,laptop,display flickering,The image shows a display with a flickering screen.
data\Laptop-damage-detection-testing.v1i.coco\20240910153128_bottom_jpg.rf.60168d2a0e5f36e2c7676ece355e8911.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\490_jpg.rf.6dae3cd2154e7931f284a3bc3c3fe5ce.jpg,laptop,keyboard malfunction,The keyboard is broken.
data\Laptop-damage-detection-testing.v1i.coco\387333767_999843797963357_3373433226000860989_n_jpg.rf.e2762a24b8d92d4263fda62a3af8f514.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\6510014334_png_jpg.rf.7c3d2a000f1c9df7a0a62c74528c59c9.jpg,laptop,screen scratch,The laptop's screen is cracked and has a scratch on it.
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-14-41-47_jpg.rf.29aa9a151b5a19e29574c4bcdcab7a0b.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\031245531b21f2_jpg.rf.9403e6b4e12b3567c0f012159e4ddd8b.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-18-38-53_jpg.rf.88f9218a2f87ab3dfd99f9f2f0b9c51e.jpg,laptop,charging port issue,The charging port is missing.
data\Laptop-damage-detection-testing.v1i.coco\20220907_160225_jpg.rf.e2a092955bf79eaf5564e5e93ac0a75f.jpg,laptop,keyboard malfunction,The keyboard is broken.
data\Laptop-damage-detection-testing.v1i.coco\20240913123033_top_jpg.rf.c95f81a295267b7c849284d7172d064e.jpg,laptop,normal device,The device is a laptop.
data\Laptop-damage-detection-testing.v1i.coco\20240910153152_bottom_jpg.rf.afb8df38a7134ef6e0007896dc389987.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\24_jpg.rf.71101d5c2fbc55a55a53f833d5277e04.jpg,laptop,screen scratch,The screen of the laptop is cracked and has a scratch on it.
data\Laptop-damage-detection-testing.v1i.coco\1700012971_jpg.rf.09de0e19bbffbd58a850d018225a1943.jpg,laptop,screen scratch,The screen of the laptop is scratched.
data\Laptop-damage-detection-testing.v1i.coco\370197575_280865421487294_7982785502145262537_n_jpg.rf.7e7d1658e6b0262e29a09e0bae2ede31.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\370116014_265347126474136_4870941993653121884_n_jpg.rf.bf2db00cc193e47423dc323a0d6ea482.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20240910153051_bottom_jpg.rf.03da7506e6ba1444e8e5b460c4c3749c.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\446_jpg.rf.326d63ca264d01f92b5aa8391601613e.jpg,laptop,screen scratch,The screen has a scratch on it.
data\Laptop-damage-detection-testing.v1i.coco\20220907_155343-0-_jpg.rf.1b75a35ade7067b254c9c1a1af66f3cc.jpg,laptop,keyboard malfunction,The keyboard is broken.
data\Laptop-damage-detection-testing.v1i.coco\6100013231_jpg.rf.9afa004e36ae8182d6ea7e2021a67eca.jpg,laptop,screen scratch,The screen has a scratch on it.
data\Laptop-damage-detection-testing.v1i.coco\600014301_jpg.rf.84b55c471f9421477b65665de16660d8.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-18-27-22_jpg.rf.02eb7ece9b085d4c590cf0474c8d523d.jpg,laptop,back panel damaging,The back panel of the computer is damaged.
data\Laptop-damage-detection-testing.v1i.coco\23_jpg.rf.10385f851c1beb3934d6aa9281979c70.jpg,laptop,screen scratch,The screen of the laptop is cracked and has a blue background.
data\Laptop-damage-detection-testing.v1i.coco\600014341_jpg.rf.2736201587c455f0999ef4f572bbcb71.jpg,laptop,back panel damaging,"The back panel of the laptop is damaged, with a missing piece."
data\Laptop-damage-detection-testing.v1i.coco\20240910153107_bottom_jpg.rf.7deab609867ef43da1335db56bf86e90.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\387588554_724350416221349_3031443269795842578_n_jpg.rf.54ebcf5629794245196c877dd7ed0da4.jpg,laptop,back panel damaging,"The back panel of the laptop is damaged, with a visible tear in the plastic."
data\Laptop-damage-detection-testing.v1i.coco\1111_JPG.rf.062c800cb7ed89b5c03187db7950f69a.jpg,laptop,back panel damaging,"The back panel of the laptop is damaged, with a broken hinge and a broken key."
data\Laptop-damage-detection-testing.v1i.coco\7100014473_png_jpg.rf.40a2421e22b63ef6760bffccb355b350.jpg,laptop,charging port issue,The charging port is broken.
data\Laptop-damage-detection-testing.v1i.coco\387568312_1013866739859589_7261385527298626043_n_jpg.rf.c350df6658bafa4bbc4cf118e6d193d4.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-18-38-53_jpg.rf.8924c90c745239f3741576f71491d881.jpg,laptop,screen scratch,The screen has a scratch on it.
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-14-47-34_jpg.rf.a1ad2f7211847d58fd2df0e5c29d20ca.jpg,laptop,back panel damaging,The back panel of the device is damaged.
data\Laptop-damage-detection-testing.v1i.coco\600014363_jpg.rf.454492d847617e7fa0d44445b27a92b8.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\387459687_851659923067403_3822777885389831890_n_jpg.rf.f077b80a67005e1580ed3bc4084617ce.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\6100013157_jpg.rf.388f8b6038c3651a954598366bf1dcea.jpg,laptop,normal device,The image shows a laptop computer with a black keyboard and a black screen. The laptop is open and appears to be in good condition.
data\Laptop-damage-detection-testing.v1i.coco\20220907_155343-0-_jpg.rf.5edf807d88f7eed9c31b67f25ba7afac.jpg,laptop,keyboard malfunction,"The keyboard is malfunctioning, specifically the letters ""L"" and ""J"" are missing."
data\Laptop-damage-detection-testing.v1i.coco\20240906135024_top_jpg.rf.95c01772c22901ce27844875e5e74721.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-18-38-40_jpg.rf.b56a69a08fb8d14131e4d2a977eb8ddd.jpg,laptop,back panel damaging,The back panel is damaged.
data\Laptop-damage-detection-testing.v1i.coco\387536928_1109335957112618_3816927098928686102_n_jpg.rf.7da3f1af662d5a016b1d0931a1e78958.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\1400013306_jpg.rf.3eb24736434615f527f99fcebbd4d54e.jpg,laptop,keyboard malfunction,The keyboard is broken and has a cracked screen.
data\Laptop-damage-detection-testing.v1i.coco\4d0434u-960_jpg.rf.46c92ba83af233cb059e9eaef2a4583a.jpg,laptop,back panel damaging,"The back panel of the car is damaged, with a hole in it."
data\Laptop-damage-detection-testing.v1i.coco\20220907_160213_jpg.rf.2dfde2c85268c72eb8dc489b537b39ac.jpg,laptop,keyboard malfunction,The keyboard is missing a key.
